================================================================
LOSO Sonnet evaluation — starting 2026-05-15 00:28:58
================================================================
PID: 95627
Working dir: /Users/javencao/Library/CloudStorage/GoogleDrive-jacao@ucsd.edu/My Drive/知识库/MyBrain/projects/ece284-llm-ppg
Python: Python 3.14.0
Est cost: ~$6.48, est time: ~5.9 hours
Output: per-subject results/llm_lambda_loso_sonnet_s{1..12}.json
================================================================


[00:28:58] === Subj 1 START ===
  s1 w0: truth=74, pred=75.0, λ=0.20 err=0.6607929515418505
  s3 w65: truth=147, pred=82.5, λ=1.80 err=64.863
  s3 w66: truth=148, pred=82.5, λ=0.80 err=65.16839999999999
  s3 w67: truth=148, pred=82.5, λ=0.60 err=65.9375
  s3 w68: truth=150, pred=82.5, λ=0.60 err=67.02780000000001
  s3 w69: truth=150, pred=82.5, λ=0.60 err=67.9752
  s3 w70: truth=151, pred=82.5, λ=0.60 err=68.7739
  s3 w71: truth=152, pred=82.5, λ=0.60 err=69.58109999999999
  s3 w72: truth=153, pred=82.5, λ=0.60 err=70.23310000000001
  s3 w73: truth=154, pred=82.5, λ=0.70 err=71.03120000000001
  s3 w74: truth=154, pred=82.5, λ=0.60 err=71.1885
  s3 w75: truth=154, pred=82.5, λ=0.50 err=71.03120000000001
  s3 w76: truth=153, pred=75.0, λ=0.30 err=78.06120000000001
  s3 w77: truth=152, pred=52.5, λ=0.40 err=99.41900000000001
  s3 w78: truth=151, pred=150.0, λ=1.00 err=0.7937000000000012
  s3 w79: truth=150, pred=150.0, λ=0.30 err=0.1577000000000055
  s3 w80: truth=149, pred=150.0, λ=0.30 err=0.9413999999999874
  s3 w81: truth=148, pred=150.0, λ=0.30 err=1.5625
  s3 w82: truth=148, pred=150.0, λ=0.30 err=2.484499999999997
  s3 w83: truth=147, pred=142.5, λ=0.30 err=4.079800000000006
  s3 w84: truth=146, pred=142.5, λ=0.30 err=3.1311000000000035
  s3 w85: truth=145, pred=142.5, λ=0.30 err=2.3497999999999877
  s3 w86: truth=144, pred=142.5, λ=0.30 err=1.730799999999988
  s3 w87: truth=144, pred=142.5, λ=0.30 err=1.1492000000000075
  s3 w88: truth=143, pred=142.5, λ=0.30 err=0.508499999999998
  s3 w89: truth=142, pred=142.5, λ=0.30 err=0.6932999999999936
  s3 w90: truth=141, pred=142.5, λ=0.30 err=1.875
  s3 w91: truth=140, pred=142.5, λ=0.30 err=2.543900000000008
  s3 w92: truth=139, pred=142.5, λ=0.30 err=3.6110999999999933
  s3 w93: truth=138, pred=135.0, λ=0.30 err=3.1365000000000123
  s3 w94: truth=137, pred=135.0, λ=0.30 err=1.6559000000000026
  s3 w95: truth=135, pred=135.0, λ=0.30 err=0.4942000000000064
  s3 w96: truth=134, pred=135.0, λ=0.30 err=0.9305999999999983
  s3 w97: truth=133, pred=30.0, λ=0.30 err=103.3682
  s3 w98: truth=133, pred=30.0, λ=1.20 err=102.53639999999999
  s3 w99: truth=131, pred=127.5, λ=0.30 err=3.8078999999999894
  s3 w100: truth=131, pred=127.5, λ=0.30 err=3.076699999999988
  s3 w101: truth=129, pred=127.5, λ=1.20 err=1.671199999999999
